# Spyropoulos & Blaisdell - 1996 
# Case 1
# time   density_rms
0.000000000000000000e+00   4.877998206389844160e-04
1.589574250804791644e-01   1.998061241945600641e-02
3.329272654698897105e-01   1.630085999989636103e-02
5.072288719434751014e-01   1.652350614544834118e-02
6.771760485622605463e-01   1.552717112390947229e-02
8.471232251810455471e-01   1.453083610237057566e-02
1.021424831654631049e+00   1.475348224792258356e-02
1.191392743653677755e+00   1.400104713670319301e-02
1.361360655652723572e+00   1.324861202548377470e-02
1.535724468267092302e+00   1.420295790199421759e-02
1.709943133219633982e+00   1.345000440626831217e-02
1.884120327411654028e+00   1.220925108990342234e-02
2.058401198504978602e+00   1.218799732513595191e-02
2.228431316644807758e+00   1.216726194487499635e-02
2.406900734550845300e+00   1.141379006464254831e-02
2.542904093682447630e+00   1.115330185011428887e-02
2.678969658954832855e+00   1.162451336654451994e-02
2.810597852851373979e+00   9.901144074605877643e-03
2.989129476898194415e+00   9.879371925331892346e-03
